Node_ID,Trust_Direct,Trust_Indirect,Trust_Overall,Malicious_Prob,Path_Selected,PDR,Avg_Delay,Throughput_kbps,Energy_Consumed,Packet_Loss,Anomaly_Score,Label,Attack_Class
N151,0.868,0.694,0.781,0.73,P3->P17->P24,79.42,37.4,49,3.569,20.0,0.19,0,Normal
N176,0.564,0.345,0.454,0.159,P7->P12->P27,78.01,10.73,45,4.981,51.12,0.973,0,Normal
N143,0.335,0.313,0.324,0.573,P4->P13->P21,67.78,22.59,34,2.07,55.14,0.084,0,Normal
N143,0.866,0.809,0.838,0.621,P4->P12->P21,65.47,24.41,31,4.154,56.83,0.823,0,Normal
N166,0.507,0.696,0.601,0.683,P10->P12->P26,67.67,37.45,32,2.071,12.05,0.922,0,Normal
N110,0.503,0.77,0.637,0.846,P10->P12->P27,66.18,32.31,74,4.668,2.19,0.001,0,Normal
N46,0.967,0.893,0.93,0.27,P6->P12->P27,81.61,20.71,84,1.392,50.05,0.762,0,Packet Drop
N39,0.707,0.541,0.624,0.482,P7->P19->P30,97.78,37.05,54,2.855,27.45,0.928,0,Sybil Attack
N29,0.436,0.849,0.642,0.549,P7->P12->P25,89.5,42.71,73,2.063,39.96,0.245,0,Normal
N69,0.881,0.602,0.742,0.798,P10->P17->P25,81.07,41.32,89,2.637,29.04,0.044,0,Normal
N143,0.638,0.427,0.532,0.431,P8->P12->P24,73.3,8.95,37,0.924,53.75,0.895,0,Data Tampering
N149,0.484,0.34,0.412,0.876,P3->P18->P27,95.12,23.88,67,4.683,42.64,0.816,0,Normal
N141,0.66,0.514,0.587,0.556,P5->P17->P22,52.39,40.49,58,2.61,14.14,0.172,1,Data Tampering
N69,0.888,0.997,0.942,0.988,P3->P11->P28,53.41,20.38,38,2.918,42.79,0.336,1,Selective Forwarding
N162,0.971,0.994,0.982,0.414,P2->P18->P27,70.38,17.69,54,3.305,57.91,0.265,0,Selective Forwarding
N55,0.381,0.842,0.611,0.107,P7->P19->P29,51.67,17.12,25,1.016,20.71,0.591,0,Normal
N16,0.777,0.751,0.764,0.016,P10->P17->P24,68.27,20.92,73,2.492,22.73,0.696,0,Data Tampering
N134,0.999,0.687,0.843,0.917,P3->P12->P21,58.97,28.12,18,2.626,38.76,0.384,0,Normal
N20,0.33,0.503,0.416,0.779,P8->P14->P21,96.12,48.41,81,3.79,40.0,0.478,1,Packet Drop
N188,0.676,0.952,0.814,0.693,P8->P18->P24,65.04,29.96,17,2.935,39.07,0.558,0,Normal
N91,0.706,0.757,0.732,0.542,P7->P19->P22,62.54,41.68,12,2.526,6.68,0.754,1,Data Tampering
N132,0.714,0.27,0.492,0.564,P4->P15->P24,88.67,37.04,76,2.554,6.06,0.058,0,Normal
N51,0.409,0.572,0.49,0.883,P10->P18->P23,75.78,15.97,26,3.676,27.79,0.351,0,Normal
N12,0.886,0.919,0.903,0.154,P7->P17->P23,75.05,43.43,78,1.891,48.27,0.148,0,Normal
N58,0.646,0.204,0.425,0.935,P1->P16->P24,54.58,26.25,66,4.626,45.11,0.261,0,Normal
N92,0.957,0.393,0.675,0.922,P3->P14->P27,73.48,10.45,14,3.126,57.25,0.993,0,Normal
N51,0.969,0.908,0.938,0.03,P2->P20->P27,68.58,5.1,71,4.223,8.66,0.049,0,Normal
N129,0.96,0.386,0.673,0.249,P2->P18->P30,82.48,10.32,97,1.829,20.46,0.473,0,Normal
N61,0.857,0.526,0.692,0.006,P5->P17->P28,73.88,47.07,78,0.872,18.98,0.723,0,Normal
N1,0.481,0.641,0.561,0.924,P6->P13->P29,50.0,48.0,56,1.307,34.65,0.912,1,Packet Drop
N143,0.606,0.632,0.619,0.327,P9->P19->P22,61.36,28.34,88,3.717,30.18,0.895,0,Normal
N150,0.427,0.921,0.674,0.121,P6->P20->P24,74.98,13.46,80,1.123,44.2,0.146,0,Normal
N131,0.279,0.679,0.479,0.481,P3->P13->P25,68.04,25.42,98,2.831,39.16,0.01,0,Sybil Attack
N180,0.979,0.793,0.886,0.148,P7->P16->P24,63.11,14.95,15,2.047,13.36,0.202,0,Selective Forwarding
N200,0.562,0.839,0.7,0.355,P7->P12->P22,73.79,13.44,42,1.641,1.91,0.933,0,Packet Drop
N132,0.979,0.545,0.762,0.379,P9->P13->P29,53.06,26.7,81,0.608,6.27,0.287,0,Packet Drop
N40,0.841,0.361,0.601,0.301,P8->P15->P26,95.87,26.79,98,0.634,53.86,0.783,0,Normal
N66,0.88,0.375,0.628,0.317,P2->P15->P29,74.64,32.56,12,3.474,10.36,0.228,0,Normal
N168,0.541,0.29,0.416,0.595,P2->P17->P30,83.42,46.68,65,4.478,28.18,0.14,0,Normal
N90,0.601,0.936,0.768,0.915,P7->P20->P28,58.09,14.08,33,4.849,30.19,0.367,1,Packet Drop
N29,0.693,0.34,0.516,0.528,P4->P14->P23,52.94,39.34,21,2.702,46.78,0.492,0,Normal
N26,0.29,0.84,0.565,0.821,P2->P15->P26,75.13,5.75,26,3.494,1.83,0.074,0,Normal
N75,0.47,0.875,0.672,0.246,P3->P20->P24,77.02,43.08,89,4.166,8.16,0.048,0,Normal
N90,0.883,0.299,0.591,0.382,P7->P11->P29,93.62,45.61,22,4.21,38.73,0.141,0,Packet Drop
N163,0.63,0.81,0.72,0.536,P7->P14->P30,68.27,41.0,14,3.259,10.25,0.778,0,Normal
N123,0.887,0.486,0.686,0.1,P8->P13->P22,78.32,30.7,54,4.3,53.41,0.674,0,Normal
N142,0.768,0.454,0.611,0.79,P9->P17->P27,66.15,29.65,87,3.751,52.99,0.814,0,Normal
N14,0.851,0.974,0.912,0.387,P9->P19->P30,87.05,21.14,72,3.756,25.49,0.81,0,Normal
N162,0.766,0.601,0.684,0.836,P7->P18->P23,76.02,31.09,36,0.503,6.65,0.858,0,Normal
N175,0.425,0.875,0.65,0.523,P7->P12->P22,92.86,5.21,96,4.733,27.61,0.576,1,Packet Drop
N102,0.379,0.51,0.444,0.742,P6->P17->P22,53.85,38.3,50,3.989,15.4,0.085,0,Normal
N34,0.705,0.62,0.662,0.839,P1->P17->P26,67.4,22.99,99,4.405,23.99,0.43,0,Normal
N14,0.968,0.327,0.648,0.417,P8->P13->P21,74.19,12.29,65,3.667,31.56,0.753,0,Packet Drop
N82,0.991,0.256,0.624,0.796,P4->P12->P27,97.24,38.68,25,0.828,53.42,0.885,1,Packet Drop
N90,0.398,0.995,0.696,0.421,P6->P18->P27,95.55,15.75,41,1.591,44.79,0.212,0,Normal
N41,0.589,0.72,0.654,0.34,P2->P16->P24,84.68,15.32,50,2.657,56.83,0.043,0,Normal
N102,0.609,0.74,0.674,0.065,P2->P15->P30,60.75,30.48,37,3.828,33.27,0.401,0,Selective Forwarding
N62,0.378,0.242,0.31,0.914,P3->P14->P25,53.14,15.72,18,3.448,37.86,0.575,0,Normal
N89,0.718,0.545,0.632,0.417,P5->P18->P26,74.13,39.15,40,3.147,41.53,0.956,0,Normal
N4,0.879,0.266,0.572,0.418,P3->P19->P30,50.2,18.87,81,4.336,31.01,0.106,0,Normal
N33,0.737,0.328,0.532,0.202,P7->P14->P21,52.29,19.62,82,4.718,58.22,0.41,0,Normal
N140,0.463,0.738,0.6,0.009,P2->P16->P22,93.11,32.12,66,4.661,12.04,0.067,0,Normal
N15,0.361,0.508,0.434,0.196,P10->P17->P22,90.73,28.22,67,3.406,27.38,0.899,0,Normal
N76,0.383,0.725,0.554,0.303,P7->P17->P26,76.39,21.83,28,1.995,55.45,0.663,0,Normal
N60,0.502,0.652,0.577,0.071,P9->P16->P26,89.82,47.6,25,4.233,25.03,0.249,0,Normal
N169,0.937,0.319,0.628,0.458,P6->P11->P29,78.25,21.3,92,4.596,34.71,0.206,0,Normal
N166,0.238,0.211,0.224,0.975,P4->P14->P23,79.99,28.62,97,3.2,38.67,0.027,1,Packet Drop
N95,0.445,0.76,0.602,0.483,P10->P13->P30,97.02,11.33,30,3.005,50.71,0.487,0,Packet Drop
N18,0.739,0.818,0.778,0.783,P2->P20->P26,53.99,38.35,85,1.081,0.38,0.248,0,Normal
N112,0.862,0.23,0.546,0.239,P9->P15->P23,75.25,10.1,25,4.453,53.17,0.524,0,Normal
N43,0.682,0.327,0.505,0.56,P8->P17->P29,92.22,40.36,49,3.567,57.49,0.596,1,Sybil Attack
N16,0.936,0.92,0.928,0.991,P3->P11->P25,94.46,44.26,66,1.975,58.62,0.829,0,Normal
N128,0.99,0.659,0.824,0.001,P6->P14->P27,58.5,43.84,99,4.804,16.99,0.382,0,Sybil Attack
N118,0.635,0.478,0.556,0.413,P7->P18->P24,96.19,7.24,91,1.497,52.61,0.086,0,Normal
N55,0.837,0.871,0.854,0.805,P4->P12->P24,52.45,12.08,19,1.833,16.89,0.138,0,Normal
N21,0.858,0.616,0.737,0.249,P7->P12->P29,62.87,11.77,66,4.259,33.58,0.154,0,Normal
N135,0.437,0.997,0.717,0.609,P8->P15->P24,77.2,40.44,50,1.674,22.95,0.861,1,Packet Drop
N130,0.594,0.214,0.404,0.161,P3->P17->P30,96.54,46.17,35,1.954,32.86,0.364,0,Selective Forwarding
N131,0.777,0.467,0.622,0.635,P8->P16->P24,54.25,10.05,61,1.527,8.13,0.096,0,Normal
N180,0.997,0.787,0.892,0.297,P3->P14->P22,92.48,49.25,18,0.508,51.92,0.919,0,Normal
N41,0.387,0.826,0.606,0.863,P8->P20->P22,52.61,12.6,17,0.904,49.09,0.123,0,Normal
N70,0.913,0.241,0.577,0.188,P6->P15->P26,68.08,36.09,84,1.997,20.59,0.414,0,Normal
N21,0.329,0.809,0.569,0.676,P3->P19->P29,57.95,21.28,52,2.234,16.27,0.692,1,Sybil Attack
N31,0.833,0.837,0.835,0.9,P3->P18->P21,72.37,28.24,12,1.798,2.46,0.079,1,Packet Drop
N5,0.62,0.755,0.688,0.173,P4->P15->P27,54.08,38.33,87,2.419,51.62,0.439,0,Normal
N22,0.304,0.684,0.494,0.433,P10->P15->P30,70.09,12.84,99,2.9,40.6,0.173,0,Normal
N74,0.495,0.683,0.589,0.449,P6->P20->P21,88.43,15.99,46,1.859,18.76,0.958,0,Normal
N145,0.561,0.264,0.413,0.669,P2->P12->P21,87.81,45.59,69,4.854,12.1,0.206,0,Normal
N150,0.833,0.342,0.588,0.416,P5->P13->P24,52.98,21.58,27,4.715,44.34,0.319,0,Packet Drop
N45,0.398,0.769,0.584,0.619,P10->P20->P24,80.67,22.22,25,1.308,35.74,0.616,0,Normal
N136,0.344,0.957,0.65,0.588,P6->P12->P22,93.54,12.4,86,3.408,13.81,0.11,0,Normal
N177,0.497,0.306,0.401,0.466,P8->P12->P26,78.29,5.73,98,4.05,48.27,0.64,0,Normal
N31,0.76,0.423,0.592,0.868,P4->P17->P21,98.87,49.94,16,2.123,27.33,0.2,1,Data Tampering
N191,0.816,0.62,0.718,0.898,P9->P15->P23,52.66,49.28,39,1.687,27.86,0.447,0,Normal
N108,0.764,0.782,0.773,0.34,P2->P15->P30,98.48,49.45,68,1.736,15.9,0.603,0,Normal
N54,0.753,0.606,0.68,0.276,P9->P15->P25,65.54,7.3,14,2.543,21.7,0.831,0,Normal
N199,0.472,0.619,0.546,0.39,P1->P16->P27,66.44,43.88,66,3.302,26.01,0.449,0,Normal
N86,0.359,0.316,0.338,0.553,P4->P15->P28,89.87,29.06,77,4.392,0.79,0.318,1,Data Tampering
N138,0.842,0.658,0.75,0.786,P5->P19->P21,77.08,33.85,59,0.725,55.41,0.622,1,Data Tampering
N160,0.665,0.99,0.828,0.799,P2->P13->P24,97.4,5.35,68,1.152,54.93,0.542,0,Normal
N4,0.424,0.973,0.698,0.302,P10->P16->P27,56.99,34.26,49,1.562,3.42,0.999,0,Normal
N106,0.226,0.918,0.572,0.506,P5->P16->P21,57.1,43.14,96,2.776,0.15,0.887,1,Data Tampering
N89,0.218,0.666,0.442,0.803,P2->P14->P28,83.83,17.71,10,3.809,59.81,0.075,1,Selective Forwarding
N64,0.779,0.984,0.882,0.904,P5->P16->P28,63.99,24.34,16,1.841,44.6,0.004,1,Packet Drop
N126,0.663,0.851,0.757,0.026,P1->P12->P27,96.1,22.89,39,4.769,34.27,0.58,0,Normal
N2,0.875,0.681,0.778,0.004,P3->P11->P28,92.64,20.45,54,2.018,43.65,0.692,0,Normal
N178,0.266,0.353,0.31,0.734,P10->P12->P28,55.05,11.19,68,3.902,40.69,0.957,0,Normal
N16,0.909,0.783,0.846,0.025,P2->P13->P29,89.39,10.42,87,2.635,35.17,0.199,0,Normal
N40,0.255,0.354,0.304,0.222,P2->P16->P22,67.8,30.26,19,3.504,54.98,0.424,0,Sybil Attack
N147,0.524,0.466,0.495,0.296,P5->P11->P21,86.47,30.51,31,4.132,46.9,0.373,0,Normal
N11,0.883,0.71,0.796,0.777,P1->P11->P25,67.87,40.41,59,2.325,39.06,0.779,1,Data Tampering
N23,0.746,0.574,0.66,0.736,P1->P18->P27,62.24,7.82,88,2.087,20.77,0.755,0,Normal
N66,0.235,0.815,0.525,0.059,P7->P12->P27,63.13,9.76,48,2.742,28.98,0.667,0,Normal
N114,0.408,0.47,0.439,0.576,P5->P18->P26,63.88,12.68,52,1.051,35.78,0.353,0,Normal
N183,0.868,0.881,0.874,0.699,P5->P20->P25,83.77,38.57,76,2.312,1.25,0.043,0,Normal
N177,0.345,0.801,0.573,0.475,P7->P20->P29,93.67,12.03,81,2.544,55.63,0.199,0,Packet Drop
N94,0.43,0.887,0.658,0.903,P5->P20->P26,54.28,33.53,68,4.729,17.88,0.66,0,Normal
N82,0.743,0.579,0.661,0.06,P4->P13->P27,93.33,31.64,33,2.477,13.31,0.523,0,Normal
N51,0.672,0.4,0.536,0.359,P6->P17->P22,67.58,34.98,64,4.672,10.98,0.058,0,Normal
N146,0.873,0.855,0.864,0.536,P2->P11->P24,82.7,14.47,24,0.639,26.74,0.937,0,Normal
N168,0.829,0.227,0.528,0.602,P4->P19->P26,94.84,28.0,52,1.697,28.29,0.766,0,Normal
N92,0.656,0.241,0.448,0.543,P6->P17->P26,68.07,20.21,99,1.664,8.99,0.125,1,Sybil Attack
N121,0.543,0.515,0.529,0.533,P10->P11->P26,54.24,25.67,14,2.412,6.9,0.236,0,Normal
N176,0.972,0.255,0.613,0.106,P7->P15->P23,57.9,36.74,68,3.939,48.76,0.674,0,Normal
N109,0.59,0.404,0.497,0.434,P10->P20->P21,57.6,40.25,26,4.927,50.68,0.237,0,Data Tampering
N88,0.937,0.294,0.616,0.625,P4->P11->P23,60.24,28.42,43,1.317,30.74,0.845,1,Data Tampering
N60,0.212,0.759,0.486,0.65,P7->P16->P27,54.42,47.88,26,3.155,13.48,0.293,0,Normal
N79,0.782,0.972,0.877,0.004,P2->P12->P24,62.57,7.1,44,4.637,22.56,0.984,0,Data Tampering
N35,0.216,0.295,0.256,0.258,P10->P11->P22,97.46,24.12,68,2.924,54.18,0.312,0,Normal
N74,0.778,0.609,0.694,0.136,P3->P13->P28,85.04,15.85,67,2.085,26.01,0.284,0,Data Tampering
N41,0.475,0.781,0.628,0.872,P7->P11->P21,82.0,23.41,82,3.559,0.64,0.809,0,Normal
N193,0.805,0.63,0.718,0.94,P9->P16->P25,61.8,21.95,45,1.2,19.59,0.853,0,Normal
N29,0.715,0.771,0.743,0.052,P7->P16->P25,74.1,33.12,78,2.161,2.35,0.172,0,Data Tampering
N87,0.577,0.793,0.685,0.691,P2->P13->P21,65.95,32.52,46,4.319,35.79,0.629,0,Normal
N91,0.224,0.386,0.305,0.218,P10->P15->P22,71.82,25.22,86,3.311,56.79,0.528,0,Packet Drop
N189,0.218,0.907,0.562,0.017,P5->P17->P27,83.51,19.34,78,3.567,41.57,0.305,0,Normal
N78,0.592,0.31,0.451,0.069,P8->P19->P21,97.97,45.29,93,4.64,24.41,0.284,0,Normal
N69,0.392,0.536,0.464,0.083,P10->P13->P24,55.2,27.24,43,4.926,11.48,0.695,0,Normal
N135,0.838,0.72,0.779,0.011,P7->P11->P29,68.78,44.24,60,4.35,28.36,0.582,0,Normal
N23,0.464,0.561,0.513,0.421,P7->P20->P27,51.5,11.15,14,0.505,34.37,0.355,0,Normal
N91,0.432,0.965,0.698,0.388,P7->P18->P29,56.38,29.73,34,0.877,24.43,0.977,0,Normal
N29,0.23,0.753,0.492,0.097,P6->P17->P21,96.43,10.66,10,1.389,55.24,0.296,0,Normal
N154,0.792,0.948,0.87,0.675,P4->P12->P24,61.18,8.99,83,2.082,17.71,0.563,1,Data Tampering
N28,0.523,0.317,0.42,0.32,P7->P18->P27,86.01,13.43,37,4.18,30.35,0.492,0,Data Tampering
N73,0.835,0.395,0.615,0.949,P5->P12->P23,68.37,47.42,11,3.084,59.27,0.551,1,Selective Forwarding
N111,0.371,0.796,0.584,0.938,P1->P18->P21,87.3,12.28,11,4.366,27.05,0.134,0,Normal
N183,0.743,0.421,0.582,0.083,P2->P17->P25,88.23,14.25,19,3.893,18.94,0.908,0,Normal
N94,0.211,0.417,0.314,0.146,P9->P15->P23,99.07,43.23,62,1.473,0.54,0.278,0,Normal
N35,0.327,0.623,0.475,0.962,P8->P20->P27,86.34,21.0,88,3.45,17.44,0.233,0,Normal
N110,0.824,0.235,0.53,0.973,P2->P16->P29,65.13,28.75,72,2.833,50.2,0.559,0,Normal
N55,0.931,0.819,0.875,0.672,P8->P12->P28,83.18,39.6,60,1.702,8.37,0.094,0,Normal
N145,0.655,0.464,0.56,0.922,P8->P15->P26,53.06,33.97,22,3.759,48.93,0.076,0,Normal
N38,0.753,0.457,0.605,0.914,P3->P12->P28,98.02,22.69,78,2.34,36.35,0.19,0,Normal
N68,0.893,0.809,0.851,0.913,P8->P18->P25,53.27,20.18,28,3.334,10.16,0.07,0,Normal
N71,0.96,0.433,0.696,0.85,P4->P15->P22,89.16,10.3,76,0.967,47.64,0.584,0,Normal
N66,0.379,0.881,0.63,0.141,P10->P12->P29,88.56,20.81,56,4.32,35.36,0.596,0,Normal
N195,0.54,0.5,0.52,0.752,P9->P18->P28,84.09,49.67,49,3.944,8.94,0.125,0,Normal
N97,0.522,0.779,0.651,0.894,P6->P17->P23,78.32,49.29,54,0.952,34.24,0.109,1,Selective Forwarding
N182,0.913,0.314,0.614,0.354,P5->P20->P24,69.31,19.56,45,4.861,6.72,0.734,0,Normal
N109,0.487,0.68,0.584,0.31,P6->P18->P24,64.94,23.32,41,3.092,19.34,0.37,0,Selective Forwarding
N125,0.843,0.325,0.584,0.835,P5->P18->P30,83.33,47.57,21,1.815,8.6,0.196,0,Normal
N24,0.709,0.84,0.774,0.405,P10->P18->P23,86.76,5.06,13,2.407,50.68,0.082,0,Sybil Attack
N98,0.26,0.741,0.5,0.391,P8->P18->P25,94.16,23.12,47,2.398,59.54,0.352,0,Normal
N39,0.699,0.303,0.501,0.527,P4->P20->P25,51.28,38.79,97,0.56,40.2,0.909,1,Packet Drop
N37,0.818,0.839,0.828,0.395,P8->P18->P28,68.01,5.83,32,4.265,42.03,0.104,0,Normal
N189,0.521,0.454,0.488,0.75,P3->P11->P24,76.89,15.63,89,1.333,6.65,0.966,0,Normal
N109,0.673,0.695,0.684,0.957,P6->P11->P26,92.36,37.28,20,1.221,6.97,0.944,0,Normal
N116,0.727,0.977,0.852,0.713,P2->P11->P21,81.89,11.52,50,2.116,25.77,0.517,0,Normal
N198,0.664,0.409,0.536,0.903,P9->P19->P24,88.82,11.35,79,2.178,21.74,0.376,1,Data Tampering
N90,0.203,0.985,0.594,0.746,P8->P15->P21,80.11,36.85,58,4.845,29.22,0.769,0,Normal
N109,0.315,0.656,0.486,0.108,P4->P13->P28,51.89,39.6,34,2.747,6.72,0.315,0,Sybil Attack
N34,0.84,0.242,0.541,0.619,P3->P15->P30,78.03,11.7,34,4.974,38.72,0.992,0,Normal
N22,0.787,0.242,0.514,0.631,P5->P19->P25,99.47,18.9,37,4.432,49.57,0.348,0,Normal
N31,0.661,0.903,0.782,0.655,P5->P19->P26,80.9,20.75,77,1.249,24.34,0.605,1,Sybil Attack
N1,0.747,0.335,0.541,0.151,P6->P19->P24,81.89,42.89,58,3.706,18.47,0.557,0,Normal
N199,0.555,0.822,0.688,0.499,P6->P11->P25,64.14,25.06,12,2.505,54.98,0.761,0,Normal
N164,0.798,0.246,0.522,0.529,P7->P20->P21,66.73,15.13,80,4.216,51.75,0.086,1,Sybil Attack
N46,0.202,0.511,0.357,0.648,P1->P16->P23,89.53,45.74,31,3.156,37.25,0.823,0,Normal
N21,0.848,0.443,0.646,0.932,P7->P17->P26,78.02,30.54,50,2.107,19.54,0.228,0,Normal
N95,0.565,0.258,0.412,0.058,P1->P12->P27,69.95,12.34,72,2.32,56.94,0.993,0,Data Tampering
N161,0.713,0.658,0.686,0.746,P8->P11->P30,78.64,36.3,34,3.082,54.33,0.12,0,Normal
N54,0.514,0.657,0.586,0.826,P5->P15->P25,84.52,35.55,56,4.51,55.55,0.557,0,Normal
N120,0.99,0.581,0.786,0.052,P6->P17->P23,90.17,24.31,34,4.438,16.31,0.738,0,Normal
N45,0.949,0.689,0.819,0.639,P5->P20->P24,69.89,19.81,65,4.544,53.22,0.741,0,Normal
N94,0.765,0.225,0.495,0.992,P10->P20->P22,56.37,18.2,54,0.924,26.28,0.648,0,Normal
N112,0.673,0.213,0.443,0.891,P4->P15->P29,58.35,8.98,38,2.102,38.77,0.223,0,Normal
N21,0.799,0.964,0.882,0.62,P7->P12->P22,90.28,39.15,42,4.386,41.15,0.261,0,Normal
N8,0.761,0.433,0.597,0.598,P3->P15->P28,79.52,7.26,95,1.18,54.79,0.204,1,Packet Drop
N183,0.214,0.34,0.277,0.373,P3->P13->P25,81.96,46.02,77,2.73,44.25,0.386,0,Normal
N116,0.629,0.738,0.684,0.187,P8->P19->P22,58.28,24.7,29,4.498,30.98,0.305,0,Normal
N104,0.517,0.618,0.568,0.519,P2->P15->P23,78.22,27.3,80,4.297,52.15,0.05,0,Normal
N24,0.988,0.76,0.874,0.948,P4->P18->P30,85.19,49.46,25,2.077,5.71,0.696,1,Packet Drop
N156,0.593,0.371,0.482,0.097,P8->P18->P29,54.47,41.85,74,2.907,55.46,0.072,0,Packet Drop
N21,0.905,0.887,0.896,0.96,P3->P20->P30,57.7,18.96,55,2.975,32.04,0.814,1,Packet Drop
N181,0.962,0.267,0.614,0.986,P10->P16->P28,71.49,21.86,60,2.387,54.56,0.581,0,Normal
N183,0.889,0.364,0.626,0.121,P6->P18->P23,86.7,8.43,23,2.303,11.72,0.068,0,Packet Drop
N139,0.892,0.742,0.817,0.337,P5->P11->P24,95.76,36.56,84,1.643,19.57,0.91,0,Packet Drop
N196,0.432,0.604,0.518,0.564,P10->P14->P26,93.41,10.95,67,1.094,22.08,0.79,1,Packet Drop
N119,0.294,0.213,0.254,0.771,P8->P17->P29,90.27,18.04,81,2.744,15.08,0.846,0,Normal
N77,0.224,0.287,0.256,0.676,P7->P14->P28,89.42,38.38,81,1.871,57.45,0.185,1,Packet Drop
N56,0.896,0.835,0.865,0.814,P10->P19->P21,87.3,42.7,38,3.507,49.05,0.789,1,Packet Drop
N147,0.989,0.768,0.879,0.723,P6->P17->P24,64.79,32.29,98,1.28,7.07,0.873,1,Data Tampering
N139,0.453,0.413,0.433,0.331,P3->P20->P30,91.47,19.61,89,1.677,6.81,0.176,0,Normal
N71,0.496,0.626,0.561,0.067,P7->P19->P25,66.12,45.45,59,3.29,7.31,0.45,0,Packet Drop
N132,0.508,0.569,0.538,0.664,P9->P11->P26,88.2,37.93,14,2.437,14.87,0.869,1,Packet Drop
N136,0.347,0.282,0.314,0.995,P3->P19->P27,66.19,48.42,26,2.003,21.38,0.532,0,Normal
N123,0.641,0.942,0.792,0.603,P4->P16->P26,56.27,10.48,41,3.349,9.22,0.819,1,Selective Forwarding
N143,0.912,0.792,0.852,0.29,P1->P12->P26,70.23,9.57,64,3.017,28.72,0.412,0,Data Tampering
N112,0.754,0.591,0.672,0.299,P4->P11->P28,81.04,43.26,13,2.847,42.37,0.166,0,Normal
N15,0.592,0.463,0.528,0.366,P8->P13->P29,98.65,17.53,46,1.376,3.54,0.448,0,Normal
N159,0.215,0.781,0.498,0.689,P2->P15->P24,63.73,7.08,29,1.648,12.71,0.688,1,Sybil Attack
N195,0.486,0.396,0.441,0.543,P5->P20->P26,50.91,7.4,64,3.598,9.6,0.822,0,Normal
N56,0.542,0.895,0.718,0.747,P5->P13->P21,62.65,24.49,98,3.313,17.96,0.625,1,Sybil Attack
N52,0.267,0.707,0.487,0.177,P10->P14->P23,75.78,16.39,80,1.581,0.16,0.863,0,Normal
N173,0.616,0.468,0.542,0.511,P9->P16->P30,69.76,21.4,11,3.416,23.33,0.184,1,Data Tampering
N1,0.709,0.228,0.468,0.101,P3->P14->P21,91.37,41.05,78,2.615,53.51,0.252,0,Normal
N107,0.458,0.904,0.681,0.261,P8->P11->P24,61.3,15.9,16,2.201,45.45,0.09,0,Normal
N126,0.557,0.88,0.718,0.933,P10->P14->P29,85.13,42.91,46,1.149,58.82,0.895,0,Normal
N171,0.851,0.564,0.708,0.291,P4->P20->P28,65.64,33.7,69,1.474,12.22,0.57,0,Normal
N27,0.584,0.621,0.602,0.657,P5->P17->P21,69.23,33.24,50,4.429,0.17,0.855,0,Normal
N163,0.514,0.883,0.698,0.903,P4->P20->P25,68.93,45.17,82,2.725,7.62,0.617,0,Normal
N19,0.955,0.297,0.626,0.578,P6->P13->P26,87.01,43.67,23,4.5,19.33,0.099,0,Normal
N173,0.625,0.562,0.594,0.821,P9->P14->P23,83.6,47.42,91,2.035,38.39,0.027,0,Normal
N89,0.327,0.71,0.518,0.008,P9->P19->P28,82.09,47.07,46,3.455,8.16,0.927,0,Normal
N5,0.784,0.723,0.754,0.322,P6->P20->P22,89.38,36.44,12,4.477,7.33,0.01,0,Normal
N194,0.63,0.666,0.648,0.49,P5->P11->P21,72.18,15.36,50,3.874,10.41,0.629,0,Normal
N156,0.642,0.363,0.502,0.047,P6->P13->P30,73.09,25.52,96,4.342,33.61,0.743,0,Normal
N117,0.329,0.516,0.422,0.159,P8->P19->P26,75.09,32.94,62,1.033,20.34,0.999,0,Normal
N45,0.798,0.491,0.645,0.656,P8->P13->P23,96.01,31.47,76,2.637,39.29,0.087,1,Data Tampering
N50,0.369,0.318,0.344,0.512,P10->P15->P29,89.22,23.71,92,2.065,14.58,0.48,0,Normal
N136,0.632,0.222,0.427,0.722,P5->P20->P28,52.16,40.11,43,3.926,44.19,0.084,0,Normal
N60,0.246,0.774,0.51,0.016,P6->P16->P22,97.17,12.13,62,2.291,51.08,0.612,0,Packet Drop
N55,0.43,0.818,0.624,0.088,P1->P18->P27,74.52,37.31,99,4.745,35.76,0.337,0,Normal
N130,0.543,0.79,0.667,0.331,P10->P14->P25,59.97,7.35,22,2.47,2.22,0.927,0,Packet Drop
N41,0.722,0.729,0.726,0.852,P8->P17->P21,95.36,36.96,26,0.704,4.3,0.972,1,Selective Forwarding
N146,0.591,0.204,0.397,0.521,P4->P13->P24,62.17,5.16,45,1.928,7.49,0.95,1,Packet Drop
N89,0.597,0.73,0.664,0.512,P4->P11->P24,60.42,5.03,57,0.549,35.75,0.759,0,Normal
N22,0.511,0.619,0.565,0.388,P4->P16->P24,71.2,38.07,92,3.282,49.49,0.54,0,Packet Drop
N27,0.958,0.269,0.613,0.295,P7->P12->P24,53.78,24.43,98,2.434,4.59,0.368,0,Normal
N95,0.825,0.978,0.902,0.721,P9->P13->P21,98.39,33.44,76,4.997,58.21,0.61,0,Normal
N115,0.548,0.921,0.734,0.003,P4->P13->P28,85.8,30.32,65,1.171,45.62,0.91,0,Normal
N188,0.809,0.346,0.578,0.341,P7->P15->P27,89.46,25.81,89,1.099,12.07,0.172,0,Normal
N195,0.249,0.973,0.611,0.672,P3->P14->P30,61.32,49.03,74,4.464,42.01,0.048,0,Normal
