Node_ID,Trust_Direct,Trust_Indirect,Trust_Overall,Attack_Type,Malicious_Prob,Trans_Rate,PDR (%),Delay (ms),Energy (mJ),Path_Selected,Packet_Loss (%),Anomaly_Score,Label
N114,0.991,0.829,0.91,Normal,0.276,98,86.76,10.0,2.817,P6->P18->P21,51.34,0.012,0
N40,0.426,0.532,0.479,Normal,0.109,55,61.89,15.31,2.633,P1->P20->P30,8.7,0.728,0
N165,0.563,0.569,0.566,Normal,0.515,35,93.71,29.09,2.286,P10->P20->P30,10.47,0.553,0
N62,0.22,0.777,0.498,Normal,0.116,13,76.68,33.3,2.166,P3->P17->P28,36.42,0.236,0
N48,0.579,0.316,0.448,Normal,0.333,65,88.26,22.54,1.366,P3->P12->P26,40.39,0.809,0
N41,0.209,0.294,0.252,Normal,0.393,52,65.0,43.16,2.62,P6->P11->P26,41.97,0.173,0
N15,0.257,0.601,0.429,Normal,0.963,45,77.13,18.64,3.45,P9->P18->P25,39.44,0.203,0
N78,0.656,0.217,0.436,Selective Forwarding,0.793,66,85.76,10.79,4.731,P7->P14->P30,45.09,0.781,1
N174,0.837,0.381,0.609,Normal,0.716,45,95.2,14.11,1.739,P10->P18->P29,26.05,0.713,0
N120,0.429,0.557,0.493,Data Tampering,0.198,11,59.18,46.84,2.552,P6->P15->P26,55.85,0.836,0
N158,0.809,0.399,0.604,Sybil Attack,0.633,16,71.43,5.67,0.736,P7->P18->P24,57.73,0.242,1
N64,0.993,0.617,0.805,Normal,0.29,45,62.14,42.03,4.176,P1->P17->P30,19.36,0.37,0
N143,0.743,0.952,0.847,Normal,0.397,92,73.39,39.74,2.545,P3->P14->P23,44.05,0.813,0
N168,0.67,0.354,0.512,Normal,0.243,72,79.28,22.46,3.641,P4->P15->P26,55.87,0.565,0
N52,0.265,0.307,0.286,Normal,0.427,49,88.73,5.48,1.771,P2->P13->P27,13.39,0.629,0
N186,0.95,0.26,0.605,Normal,0.138,81,62.93,31.72,1.63,P8->P16->P23,31.01,0.369,0
N147,0.339,0.507,0.423,Normal,0.163,84,83.7,9.16,0.723,P9->P14->P28,14.01,0.199,0
N89,0.597,0.549,0.573,Normal,0.895,85,68.4,26.09,4.796,P7->P11->P27,47.11,0.127,0
N49,0.772,0.843,0.808,Normal,0.985,54,81.35,13.1,2.093,P2->P13->P29,38.64,0.037,0
N73,0.436,0.673,0.554,Normal,0.891,71,78.1,19.18,1.654,P7->P12->P22,37.43,0.087,0
N12,0.501,0.237,0.369,Normal,0.921,33,87.55,46.46,3.267,P1->P17->P27,36.4,0.275,0
N192,0.512,0.662,0.587,Packet Drop,0.097,94,81.64,37.8,1.003,P8->P16->P21,44.13,0.11,0
N183,0.808,0.446,0.627,Normal,0.85,80,56.92,21.54,3.747,P2->P11->P26,54.83,0.348,0
N69,0.884,0.277,0.58,Selective Forwarding,0.532,19,98.57,21.27,2.297,P7->P17->P29,41.84,0.099,1
N35,0.765,0.537,0.651,Selective Forwarding,0.867,30,65.83,6.87,0.795,P1->P11->P23,22.94,0.18,1
N93,0.73,0.346,0.538,Normal,0.881,10,75.16,35.2,3.239,P4->P15->P29,37.34,0.475,0
N57,0.236,0.507,0.372,Normal,0.443,26,87.77,12.4,0.564,P8->P12->P27,19.87,0.052,0
N160,0.58,0.287,0.434,Normal,0.06,92,53.92,12.85,0.557,P2->P16->P21,2.52,0.978,0
N40,0.556,0.57,0.563,Selective Forwarding,0.863,74,79.71,34.96,4.272,P2->P11->P30,13.68,0.42,1
N145,0.239,0.519,0.379,Normal,0.272,28,75.82,16.86,4.489,P8->P18->P29,17.6,0.205,0
N12,0.41,0.44,0.425,Normal,0.511,56,51.88,22.58,4.27,P9->P12->P28,42.12,0.22,0
N126,0.57,0.938,0.754,Packet Drop,0.344,31,63.7,14.92,4.552,P7->P20->P22,11.41,0.249,0
N184,0.835,0.791,0.813,Normal,0.743,23,50.36,42.94,1.846,P9->P17->P29,11.1,0.991,0
N106,0.83,0.428,0.629,Normal,0.994,61,60.51,31.02,0.678,P5->P19->P24,41.23,0.957,0
N100,0.573,0.414,0.493,Normal,0.835,88,70.36,6.71,1.457,P4->P19->P22,7.9,0.044,0
N154,0.942,0.288,0.615,Normal,0.604,27,81.38,42.06,3.117,P4->P20->P23,25.29,0.235,0
N168,0.312,0.91,0.611,Normal,0.601,77,99.48,31.15,0.782,P10->P20->P25,4.15,0.914,0
N51,0.437,0.295,0.366,Data Tampering,0.248,43,83.75,23.59,2.143,P6->P16->P29,59.6,0.348,0
N33,0.994,0.749,0.871,Sybil Attack,0.442,93,69.59,49.78,1.492,P1->P14->P27,6.34,0.171,0
N71,0.467,0.552,0.51,Normal,0.471,80,91.58,7.72,3.232,P4->P19->P25,26.09,0.571,0
N192,0.999,0.57,0.784,Normal,0.091,90,72.34,36.51,0.816,P3->P13->P21,9.6,0.184,0
N71,0.802,0.309,0.556,Normal,0.15,12,64.02,45.1,4.057,P5->P15->P24,34.33,0.596,0
N91,0.655,0.598,0.626,Normal,0.552,17,75.36,25.24,3.296,P9->P15->P29,10.35,0.192,0
N131,0.721,0.709,0.715,Normal,0.33,37,59.06,9.51,2.389,P5->P15->P22,5.97,0.125,0
N27,0.548,0.396,0.472,Packet Drop,0.061,16,84.99,23.53,1.963,P7->P13->P22,45.14,0.294,0
N119,0.555,0.291,0.423,Packet Drop,0.832,62,93.74,16.26,1.92,P2->P17->P23,1.51,0.616,1
N143,0.721,0.672,0.696,Normal,0.708,95,94.0,47.62,3.627,P10->P16->P30,2.07,0.886,0
N83,0.635,0.879,0.757,Normal,0.777,93,83.9,41.87,4.802,P7->P17->P29,13.4,0.602,0
N111,0.895,0.544,0.72,Normal,0.62,50,63.16,7.54,1.578,P2->P13->P22,33.87,0.826,0
N42,0.367,0.304,0.336,Normal,0.621,94,71.23,8.35,4.379,P9->P14->P22,19.92,0.804,0
N10,0.606,0.384,0.495,Normal,0.922,10,68.67,6.77,4.244,P10->P13->P22,36.54,0.427,0
N113,0.694,0.554,0.624,Normal,0.521,97,58.17,23.07,4.057,P1->P19->P30,16.32,0.868,0
N7,0.46,0.753,0.606,Sybil Attack,0.726,47,52.93,45.78,3.022,P10->P18->P28,46.04,0.173,1
N18,0.853,0.847,0.85,Normal,0.311,48,90.42,6.06,1.777,P1->P11->P27,46.02,0.587,0
N61,0.624,0.965,0.794,Data Tampering,0.001,33,81.76,33.77,1.14,P4->P14->P27,41.98,0.849,0
N142,0.215,0.53,0.372,Normal,0.683,95,51.23,22.01,1.636,P2->P14->P24,46.62,0.04,0
N33,0.956,0.309,0.632,Normal,0.407,34,65.5,31.12,1.653,P9->P13->P21,19.82,0.469,0
N115,0.7,0.563,0.632,Normal,0.948,71,53.46,41.6,4.401,P2->P13->P29,14.44,0.481,0
N17,0.619,0.931,0.775,Packet Drop,0.248,70,54.17,44.67,3.85,P4->P14->P27,47.83,0.002,0
N171,0.354,0.602,0.478,Normal,0.815,18,68.64,24.79,1.687,P4->P16->P30,2.42,0.72,0
N151,0.497,0.774,0.636,Normal,0.312,80,71.49,32.35,1.367,P9->P13->P27,56.62,0.728,0
N177,0.21,0.392,0.301,Normal,0.196,65,80.77,42.88,1.63,P9->P12->P30,56.22,0.367,0
N49,0.21,0.391,0.3,Normal,0.927,93,96.36,16.63,1.243,P1->P17->P30,56.37,0.03,0
N46,0.26,0.364,0.312,Normal,0.517,36,99.9,49.17,0.687,P2->P12->P24,34.03,0.68,0
N5,0.712,0.925,0.818,Selective Forwarding,0.146,92,52.28,23.68,4.201,P1->P17->P30,43.65,0.079,0
N43,0.466,0.257,0.362,Normal,0.582,46,90.33,25.09,2.791,P5->P12->P27,45.14,0.702,0
N27,0.291,0.333,0.312,Normal,0.008,18,99.68,13.43,2.176,P1->P11->P25,38.61,0.842,0
N45,0.202,0.793,0.498,Normal,0.005,10,52.7,34.89,1.794,P8->P16->P23,26.18,0.78,0
N147,0.739,0.271,0.505,Normal,0.357,40,61.37,44.06,2.649,P8->P17->P29,33.58,0.479,0
N196,0.826,0.737,0.782,Normal,0.869,85,56.04,33.64,2.289,P6->P16->P30,37.54,0.921,0
N129,0.483,0.396,0.44,Normal,0.09,10,82.6,28.88,4.986,P7->P18->P24,33.9,0.397,0
N90,0.493,0.836,0.664,Normal,0.012,29,56.8,39.25,2.138,P10->P20->P26,19.53,0.5,0
N135,0.226,0.828,0.527,Normal,0.557,61,71.48,40.34,4.872,P10->P17->P26,39.55,0.249,0
N64,0.357,0.81,0.584,Normal,0.371,41,62.97,14.83,2.488,P10->P18->P25,4.76,0.351,0
N59,0.318,0.506,0.412,Normal,0.36,46,98.88,35.67,2.241,P7->P15->P21,22.65,0.338,0
N38,0.589,0.956,0.772,Normal,0.065,29,81.67,30.38,4.191,P2->P16->P24,54.09,0.278,0
N16,0.79,0.246,0.518,Data Tampering,0.016,16,54.07,6.86,4.121,P7->P12->P25,22.62,0.946,0
N81,0.204,0.707,0.455,Normal,0.934,84,60.53,8.12,4.634,P9->P17->P23,26.7,0.53,0
N103,0.212,0.736,0.474,Sybil Attack,0.625,85,57.89,34.74,1.276,P7->P12->P29,57.23,0.905,1
N29,0.216,0.24,0.228,Normal,0.33,85,73.17,11.68,1.495,P10->P12->P21,3.52,0.982,0
N174,0.451,0.715,0.583,Normal,0.053,22,83.68,6.68,4.599,P2->P16->P22,44.29,0.477,0
N93,0.877,0.463,0.67,Normal,0.962,11,62.72,28.64,2.11,P1->P17->P26,52.54,0.857,0
N128,0.396,0.716,0.556,Normal,0.963,71,94.1,27.23,3.316,P3->P17->P23,45.8,0.682,0
N155,0.52,0.637,0.578,Normal,0.923,38,75.51,16.07,1.712,P3->P11->P28,5.49,0.612,0
N26,0.987,0.668,0.828,Normal,0.988,84,90.35,5.93,2.241,P4->P16->P28,6.66,0.287,0
N36,0.581,0.888,0.734,Normal,0.477,28,89.81,16.33,2.451,P6->P15->P25,0.02,0.901,0
N125,0.366,0.873,0.619,Sybil Attack,0.224,51,72.0,43.09,4.26,P6->P13->P25,15.75,0.775,0
N126,0.813,0.864,0.838,Normal,0.061,30,70.79,49.34,4.844,P5->P13->P22,10.75,0.02,0
N104,0.723,0.651,0.687,Normal,0.169,97,73.84,29.84,2.012,P5->P12->P27,46.29,0.374,0
N132,0.331,0.87,0.6,Selective Forwarding,0.698,76,77.2,20.35,0.689,P3->P11->P24,13.14,0.567,1
N19,0.855,0.941,0.898,Sybil Attack,0.161,69,80.66,33.34,3.817,P3->P20->P30,12.14,0.754,0
N57,0.223,0.212,0.218,Normal,0.083,65,84.1,7.91,1.243,P2->P20->P21,31.6,0.637,0
N112,0.247,0.66,0.454,Normal,0.344,15,73.89,49.84,1.789,P6->P18->P21,7.7,0.551,0
N20,0.423,0.358,0.39,Normal,0.229,13,68.26,39.7,4.839,P4->P18->P29,58.76,0.182,0
N51,0.417,0.519,0.468,Packet Drop,0.092,44,54.97,20.17,2.268,P6->P18->P27,39.02,0.528,0
N11,0.282,0.688,0.485,Normal,0.343,37,86.62,27.87,1.056,P10->P18->P27,20.02,0.845,0
N109,0.587,0.224,0.406,Selective Forwarding,0.787,96,75.5,47.57,3.376,P8->P16->P23,34.4,0.195,1
N10,0.868,0.524,0.696,Normal,0.211,80,73.42,11.57,2.058,P3->P13->P21,13.24,0.29,0
N90,0.631,0.9,0.766,Normal,0.275,86,55.59,6.32,2.085,P1->P19->P24,11.5,0.75,0
N53,0.703,0.817,0.76,Normal,0.638,66,79.89,39.28,0.966,P5->P15->P25,47.91,0.974,0
N108,0.588,0.721,0.654,Normal,0.772,84,79.28,19.76,2.951,P2->P11->P22,9.53,0.518,0
N178,0.354,0.324,0.339,Normal,0.86,56,96.29,5.83,0.589,P9->P18->P24,39.8,0.033,0
N78,0.999,0.888,0.944,Normal,0.338,37,99.95,22.84,2.521,P5->P13->P29,28.72,0.725,0
N199,0.998,0.212,0.605,Selective Forwarding,0.952,97,97.34,22.07,3.448,P7->P13->P29,36.72,0.962,1
N106,0.959,0.511,0.735,Normal,0.792,93,70.17,16.53,3.775,P10->P15->P27,7.11,0.157,0
N109,0.343,0.563,0.453,Normal,0.156,62,54.87,35.52,3.145,P3->P17->P23,38.14,0.095,0
N190,0.89,0.921,0.906,Data Tampering,0.581,71,71.99,11.99,4.541,P4->P20->P22,13.46,0.821,1
N112,0.573,0.99,0.782,Normal,0.477,93,51.1,17.88,1.031,P3->P12->P22,30.39,0.127,0
N92,0.65,0.715,0.682,Selective Forwarding,0.988,85,60.69,15.19,3.666,P2->P15->P26,3.66,0.862,1
N183,0.943,0.564,0.754,Selective Forwarding,0.041,27,57.66,42.3,4.585,P3->P16->P30,29.47,0.469,0
N30,0.468,0.838,0.653,Sybil Attack,0.294,68,72.67,20.09,1.12,P10->P17->P27,2.39,0.676,0
N20,0.992,0.291,0.642,Packet Drop,0.558,13,60.43,41.84,4.583,P4->P19->P24,29.99,0.683,1
N192,0.329,0.271,0.3,Normal,0.457,26,83.18,49.16,3.574,P8->P13->P23,25.68,0.033,0
N60,0.697,0.387,0.542,Normal,0.115,51,95.63,27.36,2.344,P1->P19->P23,23.25,0.54,0
N138,0.418,0.252,0.335,Normal,0.263,58,78.95,22.96,4.338,P6->P12->P26,29.88,0.469,0
N183,0.518,0.782,0.65,Selective Forwarding,0.063,34,52.68,47.44,0.723,P5->P16->P24,45.3,0.18,0
N28,0.846,0.55,0.698,Selective Forwarding,0.867,74,66.22,23.92,0.622,P10->P18->P26,21.63,0.517,1
N131,0.83,0.964,0.897,Packet Drop,0.214,80,80.93,31.13,0.645,P6->P12->P25,29.08,0.478,0
N97,0.36,0.652,0.506,Data Tampering,0.899,52,87.25,6.73,0.945,P4->P15->P26,41.17,0.117,1
N104,0.315,0.385,0.35,Packet Drop,0.706,50,91.94,28.29,3.85,P4->P20->P21,55.91,0.682,1
N27,0.828,0.776,0.802,Sybil Attack,0.448,18,66.57,25.1,3.035,P8->P19->P27,22.91,0.302,0
N88,0.217,0.649,0.433,Normal,0.904,72,60.77,49.73,4.743,P9->P11->P22,50.44,0.979,0
N71,0.555,0.343,0.449,Normal,0.644,52,82.53,7.99,3.357,P2->P15->P22,51.28,0.327,0
N15,0.988,0.862,0.925,Selective Forwarding,0.206,23,96.36,7.05,3.952,P8->P12->P24,23.57,0.129,0
N158,0.576,0.46,0.518,Normal,0.466,97,69.98,10.9,4.18,P2->P18->P23,49.51,0.962,0
N103,0.707,0.818,0.762,Normal,0.557,35,71.0,48.85,3.132,P6->P18->P22,22.38,0.03,0
N153,0.655,0.728,0.692,Normal,0.859,54,59.78,10.52,0.864,P6->P13->P28,1.84,0.165,0
N164,0.517,0.874,0.696,Normal,0.486,51,99.41,18.87,2.173,P4->P17->P30,34.43,0.504,0
N69,0.361,0.442,0.401,Sybil Attack,0.108,84,83.04,24.92,1.314,P2->P13->P21,27.12,0.846,0
N129,0.661,0.927,0.794,Normal,0.189,98,77.75,30.57,1.602,P5->P18->P26,4.07,0.335,0
N109,0.61,0.375,0.492,Normal,0.976,59,65.46,18.97,3.467,P10->P18->P28,6.13,0.247,0
N19,0.736,0.778,0.757,Normal,0.692,92,65.43,18.39,2.679,P8->P20->P23,41.43,0.028,0
N190,0.693,0.433,0.563,Normal,0.391,85,96.06,6.06,4.592,P3->P13->P25,24.92,0.597,0
N147,0.393,0.35,0.372,Normal,0.526,49,94.5,39.72,1.562,P10->P17->P25,7.04,0.321,0
N80,0.696,0.251,0.474,Normal,0.434,23,53.44,23.73,1.557,P2->P12->P21,46.8,0.411,0
N14,0.7,0.361,0.53,Data Tampering,0.579,92,55.9,39.61,4.78,P5->P17->P21,13.7,0.575,1
N8,0.473,0.682,0.578,Normal,0.224,28,87.19,38.51,4.76,P8->P14->P29,35.46,0.667,0
N79,0.403,0.332,0.368,Normal,0.536,18,54.21,33.05,1.263,P6->P11->P29,31.83,0.766,0
N35,0.881,0.763,0.822,Normal,0.899,34,57.31,12.6,2.503,P8->P14->P24,9.05,0.329,0
N82,0.773,0.702,0.738,Sybil Attack,0.526,92,95.58,42.64,0.979,P9->P17->P21,32.05,0.029,1
N102,0.661,0.755,0.708,Sybil Attack,0.502,62,75.48,24.82,4.724,P7->P16->P23,10.94,0.657,1
N95,0.978,0.509,0.744,Normal,0.988,48,64.0,38.27,1.345,P8->P17->P26,45.75,0.183,0
N97,0.873,0.64,0.756,Selective Forwarding,0.904,22,60.12,46.36,4.866,P7->P12->P28,53.7,0.159,1
N125,0.754,0.287,0.52,Normal,0.849,35,78.06,36.65,0.745,P8->P15->P28,24.04,0.86,0
N185,0.898,0.618,0.758,Normal,0.478,23,80.25,11.58,3.647,P2->P14->P23,12.55,0.834,0
N33,0.495,0.392,0.444,Packet Drop,0.563,77,56.12,36.72,0.654,P10->P19->P27,11.5,0.912,1
N189,0.806,0.289,0.548,Packet Drop,0.206,50,75.64,42.66,0.81,P3->P11->P23,57.11,0.073,0
N98,0.612,0.796,0.704,Normal,0.768,29,98.99,39.63,3.115,P1->P20->P30,47.06,0.876,0
N96,0.301,0.451,0.376,Packet Drop,0.779,32,91.59,20.67,3.419,P10->P13->P30,10.31,0.818,1
N29,0.515,0.397,0.456,Data Tampering,0.99,68,83.98,23.38,2.13,P5->P12->P22,31.52,0.316,1
N6,0.268,0.601,0.434,Normal,0.781,84,95.89,34.26,3.748,P1->P20->P27,39.79,0.678,0
N71,0.539,0.953,0.746,Normal,0.237,21,69.33,9.09,3.076,P3->P12->P30,31.12,0.202,0
N16,0.505,0.754,0.63,Normal,0.884,54,95.77,43.15,2.397,P8->P15->P29,59.09,0.787,0
N113,0.225,0.641,0.433,Normal,0.955,15,88.5,30.02,2.928,P3->P20->P27,28.47,0.673,0
N170,0.678,0.97,0.824,Normal,0.393,75,55.36,38.83,1.197,P6->P16->P24,21.09,0.444,0
N129,0.789,0.71,0.75,Normal,0.41,74,55.86,12.59,2.543,P4->P18->P29,4.16,0.335,0
N69,0.364,0.567,0.465,Data Tampering,0.993,25,62.04,35.41,0.552,P10->P14->P23,25.28,0.611,1
N31,0.758,0.683,0.72,Normal,0.256,93,79.87,18.93,4.84,P6->P15->P27,56.07,0.798,0
N83,0.354,0.793,0.574,Packet Drop,0.687,60,90.74,19.58,4.113,P4->P19->P23,49.08,0.07,1
N184,0.899,0.665,0.782,Normal,0.144,34,92.18,30.73,2.79,P3->P17->P26,44.96,0.658,0
N97,0.254,0.67,0.462,Normal,0.654,93,80.58,15.31,4.055,P7->P18->P30,53.75,0.512,0
N28,0.566,0.599,0.582,Normal,0.898,62,56.31,38.78,4.266,P6->P11->P28,32.61,0.132,0
N83,0.515,0.329,0.422,Normal,0.104,60,88.25,27.23,2.852,P2->P14->P29,17.85,0.184,0
N105,0.311,0.984,0.648,Normal,0.042,18,74.61,39.15,0.676,P6->P20->P25,31.9,0.873,0
N117,0.237,0.502,0.37,Packet Drop,0.628,31,86.18,22.72,1.64,P6->P13->P21,55.41,0.843,1
N6,0.866,0.474,0.67,Normal,0.484,27,54.96,27.81,4.818,P5->P17->P30,57.47,0.012,0
N1,0.284,0.486,0.385,Sybil Attack,0.072,28,77.47,26.0,2.318,P8->P19->P21,7.38,0.428,0
N80,0.275,0.448,0.362,Selective Forwarding,0.848,92,68.22,41.61,1.047,P9->P20->P29,0.9,0.672,1
N128,0.504,0.99,0.747,Data Tampering,0.67,20,94.05,10.82,1.602,P9->P13->P30,44.26,0.715,1
N80,0.542,0.609,0.576,Normal,0.585,93,64.15,32.31,4.924,P6->P20->P30,6.89,0.818,0
N171,0.673,0.939,0.806,Data Tampering,0.118,38,97.73,40.99,2.037,P9->P15->P24,15.64,0.625,0
N192,0.37,0.211,0.29,Sybil Attack,0.76,25,61.9,16.71,0.732,P9->P17->P27,3.27,0.528,1
N99,0.361,0.711,0.536,Data Tampering,0.412,44,58.81,15.54,2.906,P10->P12->P21,7.75,0.433,0
N108,0.258,0.796,0.527,Normal,0.781,31,62.86,11.27,4.146,P5->P12->P26,50.15,0.407,0
N125,0.245,0.564,0.404,Data Tampering,0.474,65,87.93,11.35,4.149,P5->P20->P29,38.73,0.498,0
N170,0.779,0.439,0.609,Normal,0.786,79,70.6,25.38,4.932,P7->P11->P30,51.97,0.769,0
N104,0.913,0.698,0.806,Normal,0.883,61,71.28,29.0,4.438,P5->P18->P21,56.48,0.695,0
N158,0.918,0.988,0.953,Normal,0.234,30,88.45,25.12,3.498,P1->P20->P24,17.37,0.141,0
N116,0.633,0.296,0.464,Normal,0.24,51,53.83,49.4,2.681,P7->P18->P29,43.97,0.049,0
N116,0.334,0.318,0.326,Normal,0.646,59,78.6,30.04,0.662,P9->P14->P29,48.67,0.793,0
N103,0.992,0.816,0.904,Normal,0.073,64,98.48,8.8,0.665,P9->P14->P27,3.49,0.359,0
N118,0.974,0.544,0.759,Normal,0.011,83,82.66,49.31,4.102,P1->P16->P30,11.42,0.27,0
N5,0.273,0.615,0.444,Packet Drop,0.34,10,75.79,30.5,2.12,P5->P17->P21,20.73,0.966,0
N22,0.282,0.668,0.475,Normal,0.399,45,84.67,44.48,0.626,P6->P17->P24,16.01,0.59,0
N149,0.987,0.812,0.9,Normal,0.673,63,96.63,7.78,3.608,P4->P19->P25,56.71,0.39,0
N190,0.447,0.63,0.538,Normal,0.952,75,84.67,24.22,0.608,P8->P13->P27,21.26,0.669,0
N108,0.796,0.309,0.552,Normal,0.065,37,99.53,25.66,1.109,P9->P13->P28,6.56,0.539,0
N16,0.472,0.513,0.492,Normal,0.895,70,61.14,24.33,3.203,P1->P11->P30,12.37,0.031,0
N172,0.332,0.697,0.514,Normal,0.829,15,72.69,45.05,2.74,P2->P13->P21,33.72,0.449,0
N139,0.875,0.273,0.574,Normal,0.749,69,55.21,14.42,3.987,P8->P14->P27,31.53,0.404,0
N132,0.69,0.745,0.718,Normal,0.501,19,83.46,28.47,4.501,P8->P17->P29,27.26,0.647,0
N190,0.735,0.444,0.59,Normal,0.949,29,54.83,36.64,3.668,P1->P14->P27,11.86,0.63,0
N186,0.861,0.347,0.604,Normal,0.806,70,52.01,24.57,0.809,P7->P11->P23,30.22,0.197,0
N55,0.64,0.286,0.463,Normal,0.083,46,67.23,48.46,4.92,P8->P18->P30,11.71,0.549,0
N168,0.958,0.923,0.94,Normal,0.225,20,66.6,12.98,4.364,P9->P18->P29,24.97,0.852,0
N148,0.922,0.371,0.647,Normal,0.098,59,93.42,13.7,1.108,P10->P15->P28,27.82,0.696,0
N108,0.953,0.338,0.646,Normal,0.037,79,58.97,24.01,1.358,P7->P18->P25,14.04,0.787,0
N32,0.691,0.594,0.642,Selective Forwarding,0.796,35,74.01,22.24,2.902,P2->P20->P22,54.11,0.272,1
N193,0.56,0.698,0.629,Normal,0.874,19,77.95,21.2,1.734,P2->P16->P23,47.67,0.387,0
N145,0.332,0.479,0.406,Packet Drop,0.325,16,87.5,49.84,3.446,P6->P14->P26,40.76,0.223,0
N146,0.913,0.712,0.812,Packet Drop,0.762,96,97.13,34.56,1.377,P7->P20->P22,48.8,0.016,1
N77,0.431,0.829,0.63,Data Tampering,0.224,39,77.16,31.28,2.724,P1->P19->P21,57.21,0.934,0
N50,0.718,0.96,0.839,Normal,0.308,36,86.15,28.74,2.737,P10->P13->P28,22.9,0.111,0
N195,0.453,0.411,0.432,Normal,0.139,86,71.51,19.03,2.336,P6->P20->P28,51.57,0.741,0
N178,0.845,0.643,0.744,Normal,0.06,82,65.96,33.51,4.777,P9->P20->P28,26.84,0.432,0
N145,0.731,0.985,0.858,Sybil Attack,0.049,25,85.2,22.67,4.741,P1->P14->P25,20.6,0.837,0
N42,0.217,0.344,0.28,Normal,0.168,33,70.13,37.43,2.104,P4->P15->P23,56.65,0.437,0
N121,0.86,0.349,0.604,Sybil Attack,0.273,39,92.02,46.82,3.528,P4->P19->P30,40.34,0.737,0
N92,0.821,0.435,0.628,Normal,0.167,11,55.9,23.66,4.245,P2->P17->P28,54.03,0.069,0
N54,0.362,0.529,0.446,Normal,0.146,47,93.31,34.64,1.956,P8->P16->P27,50.4,0.306,0
N111,0.827,0.489,0.658,Normal,0.275,76,69.76,30.75,4.416,P8->P17->P25,15.12,0.407,0
N167,0.865,0.646,0.756,Normal,0.036,13,91.09,9.09,0.899,P7->P13->P29,4.73,0.835,0
N21,0.505,0.463,0.484,Normal,0.792,71,65.45,37.11,4.729,P7->P12->P27,16.09,0.834,0
N8,0.779,0.226,0.503,Packet Drop,0.955,22,88.02,13.56,4.855,P3->P11->P22,57.27,0.465,1
N56,0.545,0.627,0.586,Normal,0.034,96,78.93,33.53,4.914,P10->P17->P28,29.74,0.057,0
N50,0.718,0.562,0.64,Normal,0.514,58,87.11,24.97,0.995,P10->P20->P24,41.54,0.765,0
N164,0.71,0.441,0.576,Data Tampering,0.359,86,77.55,37.99,1.672,P5->P20->P21,51.95,0.903,0
N141,0.71,0.276,0.493,Normal,0.393,48,82.76,8.21,0.503,P5->P12->P26,58.54,0.094,0
N110,0.372,0.965,0.668,Data Tampering,0.402,49,59.19,43.54,4.221,P10->P15->P23,21.06,0.375,0
N2,0.83,0.662,0.746,Normal,0.174,94,96.93,32.53,4.436,P10->P14->P22,15.01,0.517,0
N69,0.336,0.51,0.423,Normal,0.917,10,64.89,15.88,4.879,P9->P14->P24,52.7,0.105,0
N92,0.617,0.907,0.762,Normal,0.506,35,64.01,18.56,4.329,P10->P13->P25,27.56,0.331,0
N153,0.362,0.479,0.42,Normal,0.844,78,52.5,26.05,3.894,P8->P13->P26,29.48,0.401,0
N150,0.333,0.239,0.286,Normal,0.747,48,74.84,24.23,1.681,P10->P20->P29,52.66,0.623,0
N41,0.468,0.566,0.517,Normal,0.2,64,90.64,17.32,4.256,P3->P14->P27,50.62,0.405,0
N174,0.966,0.63,0.798,Selective Forwarding,0.587,40,59.17,49.85,1.862,P7->P12->P29,53.59,0.166,1
N50,0.207,0.992,0.6,Normal,0.289,11,53.03,42.43,0.794,P6->P16->P28,21.57,0.433,0
N38,0.352,0.544,0.448,Normal,0.086,81,67.35,21.05,3.312,P7->P18->P27,43.52,0.104,0
N29,0.271,0.291,0.281,Normal,0.173,27,53.13,27.49,2.235,P5->P15->P29,32.58,0.43,0
N48,0.392,0.947,0.67,Normal,0.704,98,86.63,33.81,3.974,P6->P15->P28,20.76,0.432,0
N110,0.243,0.998,0.62,Packet Drop,0.912,97,83.53,9.28,2.682,P7->P11->P25,8.24,0.623,1
N198,0.304,0.699,0.501,Normal,0.397,83,71.95,28.76,1.386,P4->P13->P28,2.74,0.186,0
N106,0.904,0.227,0.566,Normal,0.509,97,64.7,45.78,2.645,P2->P16->P27,59.28,0.146,0
N107,0.383,0.301,0.342,Normal,0.998,32,96.27,11.65,4.37,P9->P18->P25,6.72,1.0,0
N127,0.674,0.524,0.599,Normal,0.465,27,67.28,49.89,2.362,P1->P20->P22,38.77,0.634,0
N2,0.762,0.794,0.778,Normal,0.112,49,94.38,6.02,2.956,P5->P17->P22,51.99,0.762,0
N17,0.944,0.317,0.63,Normal,0.012,21,96.37,24.0,4.154,P3->P12->P28,7.53,0.687,0
N56,0.459,0.724,0.592,Normal,0.436,55,87.54,41.07,4.557,P5->P17->P21,9.82,0.699,0
N97,0.577,0.848,0.712,Normal,0.424,31,93.35,21.51,4.044,P3->P11->P29,19.63,0.03,0
N183,0.332,0.682,0.507,Normal,0.152,53,80.73,9.89,3.446,P5->P12->P28,51.89,0.541,0
N66,0.378,0.399,0.388,Data Tampering,0.331,93,99.15,40.96,3.021,P4->P16->P28,52.43,0.509,0
N92,0.506,0.899,0.702,Packet Drop,0.55,56,88.81,8.71,2.451,P1->P11->P22,14.29,0.85,1
N20,0.246,0.432,0.339,Selective Forwarding,0.25,66,77.39,43.8,3.309,P10->P15->P23,27.65,0.389,0
